COUNTRY;ISO;REGION;CATEGORY;MEASURE;DATE IMPLEMENTED;SOURCE;LINK
Mongolia;MNG;Asia;Public health measures;Strengthening the public health system;01/01/2020;News;https://news.mn/en/790792/
Russian Federation;RUS;Europe;Public health measures;Health screenings in airports and border crossings;01/01/2020;Russian Government;https://www.rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14238
Côte d'Ivoire;CIV;Africa;Public health measures;Health screenings in airports and border crossings;02/01/2020;France24;https://www.france24.com/fr/20200201-coronavirus-la-c%C3%B4te-d-ivoire-prend-des-mesures-sanitaires-%C3%A0-l-a%C3%A9roport-d-abidjan
Singapore;SGP;Asia;Public health measures;Strengthening the public health system;02/01/2020;Singapore MoH;https://www.moh.gov.sg/news-highlights/details/precautionary-measures-in-response-to-severe-pneumonia-cases-in-wuhan-china
Singapore;SGP;Asia;Public health measures;Awareness campaigns;02/01/2020;Singapore MoH;https://www.moh.gov.sg/news-highlights/details/precautionary-measures-in-response-to-severe-pneumonia-cases-in-wuhan-china
United Arab Emirates;ARE;Middle East;Movement restrictions;Visa restrictions;02/01/2020;Reuters;https://www.reuters.com/article/us-healthcare-coronavirus-emirates-trave/concerned-by-coronavirus-outbreak-uae-advises-against-travel-abroad-idUSKBN20S0JS
Bulgaria;BGR;Europe;Public health measures;Isolation and quarantine policies;03/01/2020;US Embassy ;https://bg.usembassy.gov/novel-coronavirus-covid-19-information/
Singapore;SGP;Asia;Public health measures;Health screenings in airports and border crossings;03/01/2020;Singapore MoH;https://www.moh.gov.sg/news-highlights/details/precautionary-measures-in-response-to-severe-pneumonia-cases-in-wuhan-china
Thailand;THA;Asia;Movement restrictions;Surveillance and monitoring;03/01/2020;Thailand MoPH;https://ddc.moph.go.th/viralpneumonia/eng/file/news/news_no1_130163.pdf
Mali;MLI;Africa;Governance and socio-economic measures;Emergency administrative structures activated or established;04/01/2020;Government — Mali;https://www.facebook.com/563531873666309/posts/3232188410133962/?d=n
Oman;OMN;Middle East;Movement restrictions;Border checks ;04/01/2020;International SOS;https://www.news.gov.hk/eng/2020/04/20200408/20200408_100904_334.html?type=category&name=covid19
Panama;PAN;Americas;Movement restrictions;Border checks ;04/01/2020;Hellenic Shipping News;https://pa.usembassy.gov/covid-19-information/
Malawi;MWI;Africa;Governance and socio-economic measures;Economic measures;05/01/2020;Malawi Government;https://www.facebook.com/malawigovernment/posts/1459529247566898?__tn__=K-R
Thailand;THA;Asia;Movement restrictions;Surveillance and monitoring;18/01/2020;Thailand MoPH;https://ddc.moph.go.th/viralpneumonia/eng/file/news/news_no2_180163.pdf
Thailand;THA;Asia;Movement restrictions;Checkpoints within the country;18/01/2020;Thailand MoPH;https://ddc.moph.go.th/viralpneumonia/eng/file/news/news_no2_180163.pdf
Thailand;THA;Asia;Public health measures;Isolation and quarantine policies;18/01/2020;Thailand MoPH;https://ddc.moph.go.th/viralpneumonia/eng/file/news/news_no2_180163.pdf
Thailand;THA;Asia;Public health measures;Strengthening the public health system;18/01/2020;Thailand MoPH;https://ddc.moph.go.th/viralpneumonia/eng/file/news/news_no2_180163.pdf
Malta;MLT;Europe;Public health measures;General recommendations;19/01/2020;Ministry of Health;https://www.gov.mt/en/Government/DOI/Press%20Releases/Pages/2020/January/19/pr200063.aspx
Philippines;PHL;Asia;Movement restrictions;Border closure ;19/01/2020;Department of Foreign Affairs;https://www.dfa.gov.ph/covid-19-advisories/26380-travel-advisory-outbound-travel-restrictions-by-philippine-government-on-filipino-travelers
China;CHN;Asia;Governance and socio-economic measures;State of emergency declared;20/01/2020;Novinite;https://www.novinite.com/articles/202851/Second+City+in+China+Introduces+State+of+Emergency+due+to+the+Coronavirus+Outbreak
Singapore;SGP;Asia;Public health measures;Isolation and quarantine policies;20/01/2020;Singapore MoH;https://www.moh.gov.sg/news-highlights/details/moh-steps-up-precautionary-measures-in-response-to-increase-in-cases-of-novel-coronavirus-pneumonia-in-wuhan
Singapore;SGP;Asia;Social distancing;Limit public gatherings;20/01/2020;Singapore SGPC;https://www.sgpc.gov.sg/sgpcmedia/media_releases/mnd/speech/S-20200130-1/attachment/Transcript%20of%20Minister%20Lawrence%20Wong%20Remarks%20at%20Media%20Briefing%20on%2030%20Jan%202020.pdf
Sudan;SDN;Africa;Movement restrictions;Checkpoints within the country;20/01/2020;US Embassy;https://sd.usembassy.gov/covid-19-information/
Sudan;SDN;Africa;Governance and socio-economic measures;Emergency administrative structures activated or established;20/01/2020;US Embassy;https://sd.usembassy.gov/covid-19-information/
Thailand;THA;Asia;Public health measures;General recommendations;21/01/2020;Thailand MoPH;https://ddc.moph.go.th/viralpneumonia/eng/file/news/news_no3_190163.pdf
Thailand;THA;Asia;Public health measures;Strengthening the public health system;21/01/2020;THailand MoPH;https://ddc.moph.go.th/viralpneumonia/eng/file/news/news_no3_190163.pdf
United States of America;USA;Americas;Governance and socio-economic measures;Emergency administrative structures activated or established;21/01/2020;CDC;https://www.cdc.gov/coronavirus/2019-ncov/cases-updates/summary.html
Bahamas;BHS;Americas;Public health measures;General recommendations;22/01/2020;Ministry of Health;http://www.bahamas.gov.bs/wps/wcm/connect/6aaac324-1f3e-40d5-ace3-a914408a9a41/PRESS+RELEASE+-+Novel+Coronavirus+2019-nCoV+++22nd+Jan+2020+%281%29.pdf?MOD=AJPERES
Barbados;BRB;Americas;Public health measures;Awareness campaigns;22/01/2020;MoH ;https://gisbarbados.gov.bb/blog/health-ministry-on-alert-for-new-coronavirus/
Barbados;BRB;Americas;Public health measures;Health screenings in airports and border crossings;22/01/2020;MoH;https://gisbarbados.gov.bb/blog/health-ministry-on-alert-for-new-coronavirus/
China;CHN;Asia;Public health measures;Health screenings in airports and border crossings;22/01/2020;Ministry of health;http://en.nhc.gov.cn/2020-03/11/c_77644.htm OR http://en.nhc.gov.cn/2020-03/17/c_77841.htm
Italy;ITA;Europe;Governance and socio-economic measures;Emergency administrative structures activated or established;22/01/2020;Ministry of Health;http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5373
Kyrgyzstan;KGZ;Asia;Movement restrictions;Surveillance and monitoring;22/01/2020;MoH;http://www.med.kg/en/news/418-thermal-imagers-installed-in-the-airport-manas-to-detect-coronavirus.html
Palau;PLW;Pacific;Governance and socio-economic measures;Emergency administrative structures activated or established;22/01/2020;Palau Ministry of Health;http://www.palauhealth.org/2019nCoV/MOH_PH_Emergency%20Declaration-03172020.pdf
Panama;PAN;Americas;Public health measures;Health screenings in airports and border crossings;22/01/2020;GardaWorld;https://www.garda.com/crisis24/news-alerts/307831/panama-temperature-screenings-implemented-at-airports-other-entry-points-january-22
Philippines;PHL;Asia;Public health measures;Strengthening the public health system;22/01/2020;Department of Health;https://www.doh.gov.ph/sites/default/files/basic-page/Strengthening-of-hospital-infection-prevention-and-control-measures-to-prevent-spread-of-Novel-Coronavirus.pdf
Singapore;SGP;Asia;Public health measures;Health screenings in airports and border crossings;22/01/2020;Singapore MoH;https://www.moh.gov.sg/news-highlights/details/moh-steps-up-precautionary-measures-in-response-to-increase-in-cases-of-novel-coronavirus-pneumonia-in-wuhan
Singapore;SGP;Asia;Public health measures;Isolation and quarantine policies;22/01/2020;Singapore MoH;https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-in-response-to-novel-coronavirus-pneumonia-in-china
Singapore;SGP;Asia;Public health measures;General recommendations;22/01/2020;Singapore MoH;https://www.moh.gov.sg/news-highlights/details/moh-issues-public-health-travel-advisory-in-response-to-cases-of-novel-coronavirus-in-china
Thailand;THA;Asia;Governance and socio-economic measures;Emergency administrative structures activated or established;22/01/2020;Thailand MoPH;https://ddc.moph.go.th/viralpneumonia/eng/file/news/news_no4_220163.pdf
Timor-Leste;TLS;Asia;Public health measures;Strengthening the public health system;22/01/2020;Republica Democrática de Timor-Leste;http://timor-leste.gov.tl/?p=23501&lang=en
United States of America;USA;Americas;Public health measures;Strengthening the public health system;22/01/2020;CDC;https://tools.cdc.gov/medialibrary/index.aspx#/media/id/404773
Belize;BLZ;Americas;Public health measures;Awareness campaigns;23/01/2020;MoH;http://health.gov.bz/www/component/content/article/177-general-health/1004-ministry-of-health-activates-national-surveillance-team-to-monitor-new-strain-of-coronavirus
Italy;ITA;Europe;Public health measures;Isolation and quarantine policies;23/01/2020;Ministry of the Interior;https://www.interno.gov.it/it/notizie/emergenza-covid19-consentito-andare-prendere-chi-rientra-italia
Palau;PLW;Pacific;Public health measures;Health screenings in airports and border crossings;23/01/2020;Palau Ministry of Health;http://www.palauhealth.org/2019nCoV/MOH_PH_Emergency%20Declaration-03172020.pdf
Saint Lucia;LCA;Americas;Public health measures;Strengthening the public health system;23/01/2020;Government;http://www.govt.lc/news/ministry-of-health-prepares-for-new-strain-of-coronavirus
Singapore;SGP;Asia;Public health measures;General recommendations;23/01/2020;Singapore ECDA;https://www.ecda.gov.sg/PressReleases/Pages/Advisory-to-Preschools-Novel-Coronavirus-in-China.aspx
United Arab Emirates;ARE;Middle East;Public health measures;Health screenings in airports and border crossings;23/01/2020;KhaleejTimes;https://www.khaleejtimes.com/uae/dubai/china-coronavirus-outbreak-dubai-to-screen-passengers
Viet Nam;VNM;Asia;Public health measures;Health screenings in airports and border crossings;23/01/2020;VGP News (Online Newspaper of the Government);http://news.chinhphu.vn/Home/Govt-demands-measures-to-prevent-outbreak-of-infectious-Coronavirus/20201/38592.vgp
Viet Nam;VNM;Asia;Public health measures;Isolation and quarantine policies;23/01/2020;VGP News (Online Newspaper of the Government);http://news.chinhphu.vn/Home/Govt-demands-measures-to-prevent-outbreak-of-infectious-Coronavirus/20201/38592.vgp
Afghanistan;AFG;Asia;Public health measures;Awareness campaigns;24/01/2020;Afghanistan MoPH;https://www.facebook.com/af.moph/posts/1005130256522820?__tn__=-R
Albania;ALB;Europe;Public health measures;Strengthening the public health system;24/01/2020;"Albanian Government  ""legal acts""";https://coronavirus.al/akte-ligjore/
Albania;ALB;Europe;Public health measures;Other public health measures enforced;24/01/2020;"Albanian Government  ""legal acts""";https://coronavirus.al/akte-ligjore/
Dominica;DMA;Americas;Public health measures;Awareness campaigns;24/01/2020;Dominica News Online;https://dominicanewsonline.com/news/homepage/ministry-of-health-statement-on-coronavirus/
Israel;ISR;Middle East;Public health measures;General recommendations;24/01/2020;MoH;https://www.gov.il/en/departments/news/1_24012020
Singapore;SGP;Asia;Movement restrictions;Border checks ;24/01/2020;Singapore MoH & SGPC;https://www.sgpc.gov.sg/media_releases/mpa/press_release/P-20200124-2
Singapore;SGP;Asia;Movement restrictions;Surveillance and monitoring;24/01/2020;Singapore ECDA;https://www.ecda.gov.sg/PressReleases/Pages/Advisory-to-Preschools-Travel-Declaration-in-Response-to-Novel-Coronavirus-Situation-.aspx
Singapore;SGP;Asia;Public health measures;Requirement to wear protective gear in public;24/01/2020;Singapore MoH;https://www.moh.gov.sg/news-highlights/details/two-more-cases-of-confirmed-imported-case-of-novel-coronavirus-infection-in-singapore
Turkey;TUR;Middle East;Public health measures;Health screenings in airports and border crossings;24/01/2020;DailySabah;https://www.dailysabah.com/tourism/2020/01/28/china-virus-sends-shockwaves-across-travel-sector-including-in-turkey
Canada;CAN;Americas;Public health measures;Isolation and quarantine policies;25/01/2020;Government of Canada;https://www.canada.ca/en/public-health/news/2020/01/statement-by-the-minister-of-health-on-the-first-presumptive-confirmed-traveled-related-case-of-new-coronavirus-in-canada.html
Canada;CAN;Americas;Public health measures;Awareness campaigns;25/01/2020;Government of Canada;https://www.canada.ca/en/public-health/news/2020/01/statement-by-the-minister-of-health-on-the-first-presumptive-confirmed-traveled-related-case-of-new-coronavirus-in-canada.html
India;IND;Asia;Public health measures;Health screenings in airports and border crossings;25/01/2020;India's MoHFW;https://main.mohfw.gov.in/sites/default/files/Guidance%20document%20-%202019-nCoV.pdf
India;IND;Asia;Public health measures;Strengthening the public health system;25/01/2020;India's MoHFW;https://main.mohfw.gov.in/sites/default/files/Guidance%20document%20-%202019-nCoV.pdf
Kyrgyzstan;KGZ;Asia;Public health measures;Health screenings in airports and border crossings;25/01/2020;MoH;http://www.med.kg/en/news/415-border-arrangements-to-prevent-the-spread-of-coronovirus.html
Morocco;MAR;Africa;Movement restrictions;Surveillance and monitoring;25/01/2020;Département de la Communication Morocco;http://www.maroc.ma/en/news/corona-virus-no-case-disease-detected-morocco-ministry
Morocco;MAR;Africa;Public health measures;Strengthening the public health system;25/01/2020;Département de la Communication Morocco;http://www.maroc.ma/en/news/corona-virus-no-case-disease-detected-morocco-ministry
Morocco;MAR;Africa;Public health measures;Health screenings in airports and border crossings;25/01/2020;Département de la Communication Morocco;http://www.maroc.ma/en/news/coronavirus-morocco-establishes-health-control-international-ports-and-airports
Singapore;SGP;Asia;Public health measures;General recommendations;25/01/2020;Singapore NEA;https://www.nea.gov.sg/our-services/public-cleanliness/environmental-cleaning-guidelines/guidelines/guidelines-for-environmental-cleaning-and-disinfection
Singapore;SGP;Asia;Public health measures;General recommendations;25/01/2020;Singapore NEA;https://www.nea.gov.sg/our-services/public-cleanliness/environmental-cleaning-guidelines/guidelines/guidelines-for-environmental-cleaning-and-disinfection
Thailand;THA;Asia;Public health measures;Health screenings in airports and border crossings;25/01/2020;THailand MoPH;https://ddc.moph.go.th/viralpneumonia/eng/file/news/news_no6_250163.pdf
Thailand;THA;Asia;Public health measures;General recommendations;25/01/2020;Thailand MoPH;https://ddc.moph.go.th/viralpneumonia/eng/file/news/news_no6_250163.pdf
Tunisia;TUN;Africa;Movement restrictions;Surveillance and monitoring;25/01/2020;Ministere de la santé;https://www.facebook.com/santetunisie.rns.tn/photos/pcb.2846906335348452/2848785745160511/?type=3&theater
